"","technology","costBracket","freq","popWeight"
"1","Cable","40",0.277001107143551,3.32401328572261
"2","DSL","40",0.147438441422311,1.76926129706773
"3","Fiber","40",0.0386357883883627,0.463629460660352
"4","Satellite","40",0.0128359764167113,0.154031717000535
"5","Cable","80",0.278841742109435,3.34610090531322
"6","DSL","80",0.112692223406189,1.35230668087427
"7","Fiber","80",0.0353209114038514,0.423850936846217
"8","Satellite","80",0.0161164894617178,0.193397873540614
"9","Cable","120",0.0533955430767461,0.640746516920953
"10","DSL","120",0.0145664769030736,0.174797722836884
"11","Fiber","120",0.0104001111281264,0.124801333537516
"12","Satellite","120",0.00275518913992472,0.0330622696790967
